sentence_id,original,error_rate,corrupted,translation,cosine_distance,euclidean_distance,word_count
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.0,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.0,0.0,18
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.05,Scientistp discpvered a remarkabl neww sspecies of nutterfly in thw temote Amqzon rainfofest during thiir expeditiln laat yrar.,Scientistp discpvered a remarkabl neww sspecies of nutterfly in thw temote Amqzon rainfofest during thiir expeditiln laat yrar.,0.638324499130249,1.129888892173767,18
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.1,Sjientists discoovered a remarkabe neg specied of buttervly in thhe rempte Amazoh raibforest durimg ttheir expedieion laxt yyear.,Sjientists discoovered a remarkabe neg specied of buttervly in thhe rempte Amazoh raibforest durimg ttheir expedieion laxt yyear.,1.0151287317276,1.4248709678649902,18
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.15000000000000002,Sciehtists disscovered a remarmable ne specoes of butgerfly in tthe eemote Amzon raiforest durint thir expedigion laast ysar.,Sciehtists disscovered a remarmable ne specoes of butgerfly in tthe eemote Amzon raiforest durint thir expedigion laast ysar.,0.5864968299865723,1.0830483436584473,18
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.2,Svientisys eiscoverred a rrejarkable ndw sprcies of buttercly in tne remotee Wmazon ranfnrest duting theor wxpedktion lasw yewr.,Svientisys eiscoverred a rrejarkable ndw sprcies of buttercly in tne remotee Wmazon ranfnrest duting aor wxpedktion lasw yewr.,1.007773756980896,1.419699788093567,18
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.25,Scientkstts discoverdd a jemsrkable nnew speces of buuterflly in ghe romote Vmazon tainforesr duriny theor expeditih yast yeear.,Scientkstts discoverdd a jemsrkable nnew speces of buuterflly in ghe romote Vmazon tainforesr duriny aor expeditih yast yeear.,0.9267687201499939,1.361446738243103,18
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.30000000000000004,Sxiensts disovetef a remwrrkablle nw pecie of butyerrfly in yhe reemote Amaaon raiinfrext yuring ttheir expdditrob lst yezr.,Sxiensts disovetef a remwrrkablle nw pecie of butyerrfly in yhe reemote Amaaon raiinfrext yuring tair expdditrob lst yezr.,1.0085595846176147,1.4202531576156616,18
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.35000000000000003,Sienntiats discovvezd a remsrkabllw mew epeies of buutterfkr in thhe rekkte Ajazod taindorst ddurring theif esedimion lst yea.,Sienntiats discovvezd a remsrkabllw mew epeies of buutterfkr in thhe rekkte Ajazod taindorst ddurring aif esedimion lst yea.,1.0277149677276611,1.433677077293396,18
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.4,Zcienntisttw disfoverrx a remmaarksbl bew spciss of gutrdrfly in thhe remotn Amazzoz raalnoresy duoini reir xedditiin las deat.,Zcienntisttw disfoverrx a remmaarksbl bew spciss of gutrdrfly in,1.0456643104553223,1.4461426734924316,18
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.45,Scentmwtss eiscovvrred a rejarkjbw new spxcip of brtysrly in thee remogw Qmazjn xaihffirest durog thekf exppdizio lwst yyeqr.,Scentmwtss eiscovvrred a rejarkjbw new spxcip of brtysrly in,0.9734857678413391,1.3953392505645752,18
1,Scientists discovered a remarkable new species of butterfly in the remote Amazon rainforest during their expedition last year.,0.5,Sxisnixtc duzclgerrd a emafkbo nen weies of buttblt in he rdotee kazonn aiibgoreest dyhijg tbei nxxleituon asg ueaf.,Sxisnixtc duzclgerrd a emafkbo nen weies of buttblt in,1.093285083770752,1.4787055253982544,18
2,The research team published groundbreaking findings about climate change impacts on marine ecosystems in the Pacific Ocean.,0.0,The research team published groundbreaking findings about climate change impacts on marine ecosystems in the Pacific Ocean.,The research team published groundbreaking findings about climate change impacts on marine ecosystems in the Pacific Ocean.,0.0,0.0,17
2,The research team published groundbreaking findings about climate change impacts on marine ecosystems in the Pacific Ocean.,0.05,Th researfh teqm publishhed groundbrsaking fiddings abut coimate chabge impactq on matine eccosystems in te Paciffic OOcean.,Th researfh teqm publishhed groundbrsaking fiddings abut coimate chabge impactq on matine eccosystems in te Paciffic OOcean.,0.7829121351242065,1.251328945159912,17
